G:   0	F:0.52814248553338150050	T:1558136198.358	SOL_S:300	MAX_S:300
G:   1	F:0.54020168564087456264	T:1558136207.647	SOL_S:300	MAX_S:301
G:   2	F:0.54020168564087456264	T:1558136216.842	SOL_S:300	MAX_S:301
G:   3	F:0.54056417087791985843	T:1558136226.043	SOL_S:300	MAX_S:302
G:   4	F:0.54118375380917271844	T:1558136235.343	SOL_S:300	MAX_S:301
G:   5	F:0.55582147854053154390	T:1558136244.660	SOL_S:300	MAX_S:302
G:   6	F:0.55582147854053154390	T:1558136253.858	SOL_S:300	MAX_S:302
G:   7	F:0.55582147854053154390	T:1558136263.303	SOL_S:300	MAX_S:301
G:   8	F:0.55582147854053154390	T:1558136272.593	SOL_S:300	MAX_S:302
G:   9	F:0.55582147854053154390	T:1558136281.999	SOL_S:300	MAX_S:301
G:  10	F:0.56068266529024912703	T:1558136291.095	SOL_S:300	MAX_S:301
G:  11	F:0.56068266529024912703	T:1558136300.676	SOL_S:300	MAX_S:301
G:  12	F:0.56068266529024912703	T:1558136309.875	SOL_S:300	MAX_S:301
G:  13	F:0.56068266529024912703	T:1558136319.103	SOL_S:300	MAX_S:302
G:  14	F:0.56353178922738489387	T:1558136328.101	SOL_S:300	MAX_S:301
G:  15	F:0.56353178922738489387	T:1558136337.200	SOL_S:300	MAX_S:301
G:  16	F:0.56353178922738489387	T:1558136346.498	SOL_S:300	MAX_S:301
G:  17	F:0.56353178922738489387	T:1558136355.796	SOL_S:300	MAX_S:301
G:  18	F:0.56353178922738489387	T:1558136364.995	SOL_S:300	MAX_S:301
G:  19	F:0.56515190541948723268	T:1558136374.193	SOL_S:300	MAX_S:301
G:  20	F:0.56515190541948723268	T:1558136383.390	SOL_S:300	MAX_S:301
G:  21	F:0.56515190541948723268	T:1558136392.886	SOL_S:300	MAX_S:302
G:  22	F:0.56515190541948723268	T:1558136402.082	SOL_S:300	MAX_S:301
G:  23	F:0.56515190541948723268	T:1558136411.375	SOL_S:300	MAX_S:301
G:  24	F:0.56515190541948723268	T:1558136420.675	SOL_S:300	MAX_S:301
G:  25	F:0.56558919505924831750	T:1558136429.870	SOL_S:300	MAX_S:301
G:  26	F:0.56719524473073124060	T:1558136439.202	SOL_S:300	MAX_S:301
G:  27	F:0.56837252912162761209	T:1558136448.501	SOL_S:300	MAX_S:302
G:  28	F:0.56837252912162761209	T:1558136457.796	SOL_S:300	MAX_S:301
G:  29	F:0.56837252912162761209	T:1558136466.991	SOL_S:300	MAX_S:301
G:  30	F:0.56837252912162761209	T:1558136476.292	SOL_S:300	MAX_S:301
G:  31	F:0.56837252912162761209	T:1558136485.963	SOL_S:300	MAX_S:301
G:  32	F:0.56857355599236658605	T:1558136495.390	SOL_S:300	MAX_S:301
G:  33	F:0.56857355599236658605	T:1558136504.586	SOL_S:300	MAX_S:302
G:  34	F:0.56884099090224704565	T:1558136513.780	SOL_S:300	MAX_S:301
G:  35	F:0.56884099090224704565	T:1558136523.176	SOL_S:300	MAX_S:301
G:  36	F:0.56994779236924275612	T:1558136532.472	SOL_S:300	MAX_S:301
G:  37	F:0.56994779236924275612	T:1558136541.869	SOL_S:300	MAX_S:301
G:  38	F:0.56994779236924275612	T:1558136551.267	SOL_S:300	MAX_S:301
G:  39	F:0.56994779236924275612	T:1558136560.464	SOL_S:300	MAX_S:301
G:  40	F:0.56994779236924275612	T:1558136569.891	SOL_S:300	MAX_S:301
G:  41	F:0.56994779236924275612	T:1558136579.666	SOL_S:300	MAX_S:301
G:  42	F:0.56994779236924275612	T:1558136588.967	SOL_S:300	MAX_S:302
G:  43	F:0.56994779236924275612	T:1558136598.167	SOL_S:300	MAX_S:301
G:  44	F:0.56994779236924275612	T:1558136607.464	SOL_S:300	MAX_S:301
G:  45	F:0.56994779236924275612	T:1558136616.761	SOL_S:300	MAX_S:301
G:  46	F:0.57007802006638630399	T:1558136626.079	SOL_S:300	MAX_S:301
G:  47	F:0.57007802006638630399	T:1558136635.368	SOL_S:300	MAX_S:301
G:  48	F:0.57086836207084623585	T:1558136644.667	SOL_S:300	MAX_S:302
G:  49	F:0.57123211998854095395	T:1558136654.071	SOL_S:300	MAX_S:301
G:  50	F:0.57123211998854095395	T:1558136663.461	SOL_S:300	MAX_S:301
G:  51	F:0.57123211998854095395	T:1558136673.130	SOL_S:300	MAX_S:302
G:  52	F:0.57123211998854095395	T:1558136682.555	SOL_S:300	MAX_S:301
G:  53	F:0.57123211998854095395	T:1558136691.852	SOL_S:300	MAX_S:301
G:  54	F:0.57132500659625884420	T:1558136701.254	SOL_S:300	MAX_S:301
G:  55	F:0.57208605513976906742	T:1558136710.457	SOL_S:300	MAX_S:301
G:  56	F:0.57208605513976906742	T:1558136719.755	SOL_S:300	MAX_S:301
G:  57	F:0.57208605513976906742	T:1558136729.252	SOL_S:300	MAX_S:301
G:  58	F:0.57208605513976906742	T:1558136738.550	SOL_S:300	MAX_S:301
G:  59	F:0.57212663707803079749	T:1558136747.672	SOL_S:300	MAX_S:301
G:  60	F:0.57256418038858925001	T:1558136756.670	SOL_S:300	MAX_S:301
G:  61	F:0.57256418038858925001	T:1558136766.238	SOL_S:300	MAX_S:301
G:  62	F:0.57330863051172020750	T:1558136775.639	SOL_S:300	MAX_S:301
G:  63	F:0.57342540445396972260	T:1558136784.944	SOL_S:300	MAX_S:301
G:  64	F:0.57393373882224640870	T:1558136794.241	SOL_S:300	MAX_S:302
G:  65	F:0.57393373882224640870	T:1558136803.469	SOL_S:300	MAX_S:302
G:  66	F:0.57393373882224640870	T:1558136812.462	SOL_S:300	MAX_S:301
G:  67	F:0.57393373882224640870	T:1558136821.553	SOL_S:300	MAX_S:301
G:  68	F:0.57396379807183051103	T:1558136830.653	SOL_S:300	MAX_S:301
G:  69	F:0.57437252636943247897	T:1558136839.953	SOL_S:300	MAX_S:301
G:  70	F:0.57473775062893628363	T:1558136849.153	SOL_S:300	MAX_S:301
G:  71	F:0.57474673701009149074	T:1558136859.056	SOL_S:300	MAX_S:301
G:  72	F:0.57474673701009149074	T:1558136868.553	SOL_S:300	MAX_S:301
G:  73	F:0.57474673701009149074	T:1558136877.852	SOL_S:300	MAX_S:301
G:  74	F:0.57474673701009149074	T:1558136886.948	SOL_S:300	MAX_S:301
G:  75	F:0.57474673701009149074	T:1558136896.144	SOL_S:300	MAX_S:301
G:  76	F:0.57474673701009149074	T:1558136905.539	SOL_S:300	MAX_S:301
G:  77	F:0.57474673701009149074	T:1558136914.836	SOL_S:300	MAX_S:301
G:  78	F:0.57475043041772744257	T:1558136924.032	SOL_S:300	MAX_S:301
G:  79	F:0.57475043041772744257	T:1558136933.576	SOL_S:300	MAX_S:301
G:  80	F:0.57475043041772744257	T:1558136943.075	SOL_S:300	MAX_S:301
G:  81	F:0.57475846165031341251	T:1558136952.739	SOL_S:300	MAX_S:301
G:  82	F:0.57475846165031341251	T:1558136962.136	SOL_S:300	MAX_S:301
G:  83	F:0.57497592933689312122	T:1558136971.333	SOL_S:300	MAX_S:301
G:  84	F:0.57497592933689312122	T:1558136980.660	SOL_S:300	MAX_S:301
G:  85	F:0.57497592933689312122	T:1558136990.264	SOL_S:300	MAX_S:301
G:  86	F:0.57497592933689312122	T:1558136999.563	SOL_S:300	MAX_S:301
G:  87	F:0.57497592933689312122	T:1558137008.863	SOL_S:300	MAX_S:301
G:  88	F:0.57531287818210519180	T:1558137018.161	SOL_S:300	MAX_S:301
G:  89	F:0.57572982042084486221	T:1558137027.352	SOL_S:300	MAX_S:301
