G:   0	F:0.38130746181694147312	T:1558119948.278	SOL_S:100	MAX_S:100
G:   1	F:0.39076785854454909597	T:1558119950.120	SOL_S:100	MAX_S:101
G:   2	F:0.39905960867263085001	T:1558119952.385	SOL_S:100	MAX_S:101
G:   3	F:0.40595729048027773267	T:1558119954.365	SOL_S:100	MAX_S:101
G:   4	F:0.40998909075202227825	T:1558119956.008	SOL_S:100	MAX_S:101
G:   5	F:0.41115476558184099742	T:1558119957.650	SOL_S:101	MAX_S:101
G:   6	F:0.41125905137419022095	T:1558119959.704	SOL_S:102	MAX_S:102
G:   7	F:0.41679182704391309899	T:1558119961.456	SOL_S:100	MAX_S:102
G:   8	F:0.41679182704391309899	T:1558119963.332	SOL_S:100	MAX_S:103
G:   9	F:0.41679182704391309899	T:1558119965.201	SOL_S:100	MAX_S:102
G:  10	F:0.41679182704391309899	T:1558119966.976	SOL_S:100	MAX_S:101
G:  11	F:0.41679182704391309899	T:1558119969.241	SOL_S:100	MAX_S:101
G:  12	F:0.41679182704391309899	T:1558119970.893	SOL_S:100	MAX_S:101
G:  13	F:0.41679182704391309899	T:1558119972.659	SOL_S:100	MAX_S:101
G:  14	F:0.41679182704391309899	T:1558119974.298	SOL_S:100	MAX_S:102
G:  15	F:0.41679182704391309899	T:1558119976.189	SOL_S:100	MAX_S:102
G:  16	F:0.41897777702921779053	T:1558119978.044	SOL_S:101	MAX_S:101
G:  17	F:0.41897777702921779053	T:1558119979.822	SOL_S:101	MAX_S:102
G:  18	F:0.41897777702921779053	T:1558119981.900	SOL_S:101	MAX_S:102
G:  19	F:0.41897777702921779053	T:1558119983.826	SOL_S:101	MAX_S:102
G:  20	F:0.41897777702921779053	T:1558119985.578	SOL_S:101	MAX_S:101
G:  21	F:0.42398882256847308936	T:1558119987.923	SOL_S:100	MAX_S:102
G:  22	F:0.42398882256847308936	T:1558119989.709	SOL_S:100	MAX_S:101
G:  23	F:0.42398882256847308936	T:1558119991.384	SOL_S:100	MAX_S:101
G:  24	F:0.42398882256847308936	T:1558119993.026	SOL_S:100	MAX_S:101
G:  25	F:0.42398882256847308936	T:1558119995.108	SOL_S:100	MAX_S:101
G:  26	F:0.42398882256847308936	T:1558119997.184	SOL_S:100	MAX_S:101
G:  27	F:0.42398882256847308936	T:1558119999.052	SOL_S:100	MAX_S:101
G:  28	F:0.42398882256847308936	T:1558120000.950	SOL_S:100	MAX_S:101
G:  29	F:0.42398882256847308936	T:1558120002.829	SOL_S:100	MAX_S:101
G:  30	F:0.42398882256847308936	T:1558120004.476	SOL_S:100	MAX_S:101
G:  31	F:0.42398882256847308936	T:1558120006.775	SOL_S:100	MAX_S:101
G:  32	F:0.42398882256847308936	T:1558120008.637	SOL_S:100	MAX_S:101
G:  33	F:0.42398882256847308936	T:1558120010.650	SOL_S:100	MAX_S:101
G:  34	F:0.42398882256847308936	T:1558120012.430	SOL_S:100	MAX_S:101
G:  35	F:0.42398882256847308936	T:1558120014.312	SOL_S:100	MAX_S:102
G:  36	F:0.42398882256847308936	T:1558120015.956	SOL_S:100	MAX_S:101
G:  37	F:0.42398882256847308936	T:1558120017.874	SOL_S:100	MAX_S:102
G:  38	F:0.42398882256847308936	T:1558120019.767	SOL_S:100	MAX_S:102
G:  39	F:0.42398882256847308936	T:1558120021.544	SOL_S:100	MAX_S:102
